GeneID	S01	S02	S03	S04	S05	S06	S07	S08
ENSG00000000001	508	1227	656	120	2089	4749	5228	3196
ENSG00000000002	697	342	483	742	150	242	293	165
ENSG00000000003	9643	21467	13425	10294	49383	51947	63358	54791
ENSG00000000004	16990	10267	36946	23907	3536	4107	3281	2968
ENSG00000000005	1069	719	630	1355	2381	2167	2369	1282
ENSG00000000006	23338	30769	21529	11990	7665	9841	8012	9571
ENSG00000000007	1077	312	865	688	2957	2149	3752	1423
ENSG00000000008	11524	19688	20222	12543	6778	7104	11668	4839
ENSG00000000009	952	666	962	874	3105	5027	1558	1690
ENSG00000000010	20463	9145	19040	16170	2929	5068	4825	4661
ENSG00000000011	217	133	537	515	1211	1650	2027	947
ENSG00000000012	1276	1982	3763	2008	291	637	463	472
ENSG00000000013	3422	2098	2120	2136	10953	17711	9235	4406
ENSG00000000014	3287	2702	1452	1470	1405	1141	1154	885
ENSG00000000015	2435	2298	2147	3295	13874	34380	20192	11695
ENSG00000000016	2592	1987	2840	3592	456	1056	866	684
ENSG00000000017	2959	6168	10150	5863	33524	17647	9447	35791
ENSG00000000018	233	589	891	501	96	153	53	40
ENSG00000000019	8833	10659	6494	7417	53160	131098	78343	73992
ENSG00000000020	65	51	62	112	5	19	4	5
ENSG00000000021	6875	7925	6300	8776	21995	48030	42356	9857
ENSG00000000022	304	606	675	285	122	282	193	141
ENSG00000000023	1496	1832	2396	2380	19695	12933	18759	23968
ENSG00000000024	5159	3061	5939	3729	580	858	1279	828
ENSG00000000025	9737	11966	15515	11261	63266	111785	88499	62186
ENSG00000000026	2663	4467	3660	5972	932	723	996	1111
ENSG00000000027	924	1501	1007	949	1672	4808	2630	3136
ENSG00000000028	526	1452	678	717	312	476	276	145
ENSG00000000029	7481	10799	6994	8703	22276	59878	64507	51527
ENSG00000000030	592	374	218	475	156	178	90	46
ENSG00000000031	592	132	664	200	4646	2552	6439	1919
ENSG00000000032	1972	701	969	1751	219	245	160	168
ENSG00000000033	17366	13575	40689	19214	79540	49830	67316	96018
ENSG00000000034	1158	4002	3338	4194	990	1052	719	792
ENSG00000000035	4238	4449	3599	5770	11568	19501	14352	5397
